Team,Hero,Name,Set,Split,Name_S,T0,C,Ct,B,R,G,Y,S,Br,Rr,Gr,Yr,Sr,SP,MO,FI,Drw,Dsc,Top,Bs,Wd,Cty,NR,C2,C4,CD,SK,LS,LT,TE,Pierc,HM,KO,KBS,AF,Vil,MF,VS,DC,SRD,FHQ,SHL,XTR
Spidermen,Symbiote Spider-Man,Shadowed spider,PTT,,,,2,3,,1,,,,,,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,
Spidermen,Symbiote Spider-Man,Thwip!,PTT,,,,2,1,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Spidermen,Agent Venom,Multi-gun,SW2,,,,2,5,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spidermen,Agent Venom,Government payroll,SW2,,,,3,5,,,1,1,,,,,,,,1,1,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,
Spidermen,Agent Venom,Big slimeportunity,SW2,,,,6,3,,,,1,,,,,,,,1,1,1,,1,,,-1,,,,,,,,,,,,,,,,,,,,,
Spidermen,Agent Venom,Shapeshifting symb,SW2,,,,7,1,,,1,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,
Spidermen,Scarlet Spider,Flip out,PTT,,,,2,5,,,1,,,,,,,,,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
Spidermen,Scarlet Spider,Perfect Hunter,PTT,,,,4,5,,,,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Spidermen,Scarlet Spider,Leap from above,PTT,,,,6,3,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Spidermen,Scarlet Spider,Sting of the spider,PTT,,,,7,1,,,1,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
Spidermen,Black Cat,Pickpocket,PTT,,,,1,5,,1,,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
Spidermen,Black Cat,Casual bank robbery,PTT,,,,4,5,,1,,,,,,,,,,1,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,
Spidermen,Black Cat,Jinx,PTT,,,,5,3,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Spidermen,Black Cat,Cat burglar,PTT,,,,8,1,,1,,,,,,,,,,,1,,,,-1,,,,,,,,,,1,,,,,,,,,,,,,
Spidermen,Spider-Man,Great responsibility,B,,,,2,5,,,,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Spidermen,Spider-Man,Astonishing strength,B,,,,2,5,,,1,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Spidermen,Spider-Man,Web-shooters,B,,,,2,3,,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,
Spidermen,Spider-Man,Amazing spiderman,B,,,,2,1,,1,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,
Spidermen,Ultimate Spider-Man,Leaping spider,SW1,,,,2,5,,,1,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Spidermen,Ultimate Spider-Man,Marvel teamup,SW1,,,,2,5,,,1,1,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Spidermen,Ultimate Spider-Man,Web-slinger,SW1,,,,2,3,,,,,1,,,,,,,,1,1,,,,,-1,,1,,,,,,,,,,,,,,,,,,,
Spidermen,Ultimate Spider-Man,Hero fo dimension,SW1,,,,2,1,,1,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Guardians,Groot,Surviving sprig,GG,,,,3,5,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Draw extra for next turn
Guardians,Groot,Prune the growths,GG,,,,4,5,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
Guardians,Groot,Groot and branches,GG,,,,4,3,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Guardians,Groot,I am Groot,GG,,,,8,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Guardians,Star-Lord,Legendary outlaw,GG,,,,4,5,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,Copy artifact
Guardians,Star-Lord,Element guns,GG,,,,4,5,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
Guardians,Star-Lord,Implanted memory,GG,,,,6,3,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
Guardians,Star-Lord,Sentient starship,GG,,,,8,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,1,,,
Guardians,Drax the Destroyer,Knives ot hunter,GG,,,,3,5,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Guardians,Drax the Destroyer,Interstellar tracker,GG,,,,3,5,,,,1,,,,,1,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,
Guardians,Drax the Destroyer,The destroyer,GG,,,,6,3,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,2,,,,,1,,,
Guardians,Drax the Destroyer,Avatar of destruction,GG,,,,7,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Doubles FI
Guardians,Rocket Raccoon,Trigger happy,GG,,,,4,5,1,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,1,,,
Guardians,Rocket Raccoon,Gritty scavenger,GG,,,,3,5,,,,,1,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Guardians,Rocket Raccoon,Incoming detector,GG,,,,4,3,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,Triggers on MS or ambush
Guardians,Rocket Raccoon,Vengeance is rocket,GG,,,,7,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonus for played MS
Guardians,Gamora,Bounty hunter,GG,,,,2,5,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Guardians,Gamora,Galactic Assassin,GG,,,,5,3,,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,
Guardians,Gamora,Deadliest woman,GG,,,,3,5,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Guardians,Gamora,Godslayer Blade,GG,,,,8,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
Illuminati,Beast,Balanced attack,SW2,,,,3,5,,,1,,1,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuminati,Beast,Upside-down thinking,SW2,,,,4,5,,,1,,1,,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,
Illuminati,Beast,Dr of beatdown,SW2,,,,6,3,,,1,,1,,,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuminati,Beast,Multivar smackulus,SW2,,,,8,1,,,1,,1,,,2,,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuminati,Black Bolt,Speak no words,SW1,,,,4,5,1,1,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Illuminati,Black Bolt,Destructive whisper,SW1,,,,3,5,1,,,,,,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
Illuminati,Black Bolt,Silence is golden,SW1,,,,6,3,,,1,,,,,,,,,1,1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
Illuminati,Black Bolt,Hypersonic scream,SW1,,,,8,1,1,,,,,,,,,,,,1,2,,,,,,-1,,,,,,,,,,,,,,,,,,,,
Illuminati,Black Panther,Catlike Reflexes,SW1,,,,3,5,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuminati,Black Panther,Multifaceted Genius,SW1,,,,4,5,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Actually needs more multicolored cards
Illuminati,Black Panther,Stalk the urban jungle,SW1,,,,6,3,,1,1,,,,,,,,,,1,,,,,,-1,,,,,,,,,,,1,,,,,,,,,,
Illuminati,Black Panther,King of Wakanda,SW1,,,,7,1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Illuminati,Captain Britain,Transatlantic savior,SW2,,,,3,5,,1,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Illuminati,Captain Britain,Combined strength,SW2,,,,4,5,,,1,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Illuminati,Captain Britain,Raise the Union Jack,SW2,,,,5,3,,1,1,,,,,,,,,,1,1,,,,,-1,,,,,,,1,,,,,,,,,,,,,,
Illuminati,Captain Britain,Lead the Cap Brit corps,SW2,,,,7,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New hand, extra cards"
Illuminati,Dr. Strange,Trust me ima doctor,SW1,,,,2,5,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
Illuminati,Dr. Strange,Cloak of levitation,SW1,,,,4,5,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuminati,Dr. Strange,Fight the future,SW1,,,,5,3,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Illuminati,Dr. Strange,Sorcerer supreme,SW1,,,,7,1,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuminati,Superior Iron Man,Armor upgrades,SW1,,Iron Man,,2,5,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuminati,Superior Iron Man,Optimized tech,SW1,,Iron Man,,5,5,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuminati,Superior Iron Man,Superior to others,SW1,,Iron Man,,3,3,1,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
Illuminati,Superior Iron Man,#Humblebrag,SW1,,Iron Man,,8,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Black Widow,Mission accomplished,B,,,,2,5,,,,,1,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Black Widow,Dangerous rescue,B,,,,3,5,,1,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
Avengers,Black Widow,Covert operation,B,,,,4,3,,1,,,,,,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Black Widow,Silent sniper,B,,,,7,1,,1,,,,,,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain America,Avengers assemble,B,,,,3,5,,,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain America,Perfect teamwork,B,,,,4,5,,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain America,Diving block,B,,,,6,3,,,,,1,,,,,,,,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain America,Day unlike any other,B,,,,7,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Avengers,Captain America 1941,Devoted patriot,C75,,Captain America,,3,5,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain America 1941,Storm the beachhead,C75,,Captain America,,5,5,,,,,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain America 1941,Liberate the prisoners,C75,,Captain America,,6,3,,1,,,,,,,,,,,1,1,,,-1,,,,,,,,,,1,,,,,,,,,,,,,
Avengers,Captain America 1941,Punch evil in the face,C75,,Captain America,,8,1,,,,1,,,,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain America (Falcon),Aerial catch,C75,,Captain America,,3,5,,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain America (Falcon),Winged salvation,C75,,Captain America,,4,5,1,,,,,,,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain America (Falcon),Flying shield block,C75,,Captain America,,6,3,,,,,1,,,,,,,,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain America (Falcon),Star-spangled hero,C75,,Captain America,,7,1,,1,,,,,,,,,2,1,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
Avengers,"Captain America, Secret Avenger",Bold leadership,CW,,Captain America,,2,5,,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,"Captain America, Secret Avenger",Inspire a nation,CW,6,Captain America,,3,5,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Avengers,"Captain America, Secret Avenger",Inspire a man,CW,6,Captain America,,3,5,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Avengers,"Captain America, Secret Avenger",Secret avengers assemle,CW,,Captain America,,5,3,,,,,1,,,,,,,,1,,,,,,,,,,,-1,,,2,,,,,,,,,,,,,
Avengers,"Captain America, Secret Avenger",Freedom never dies,CW,,Captain America,,7,1,1,,,,,,,,,,,,1,,,,,,,,,,,-1,,,1,,,,,,,,,,,,,
Avengers,Captain Marvel,Marvelous strength,SW1,,,,5,3,,,1,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain Marvel,Cosmic energies,SW1,,,,7,1,1,,,,,2,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain Marvel,Absorb energies,SW1,,,,3,5,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Captain Marvel,Supersonic flight,SW1,,,,3,5,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Cloak & Dagger,Above,CW,7,Cloak,,3,5,,1,,,,,,,,,,,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
Avengers,Cloak & Dagger,Below,CW,7,Dagger,,3,5,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Avengers,Cloak & Dagger,Flee,CW,8,Cloak,,4,5,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Cloak & Dagger,Fight,CW,8,Dagger,,4,5,1,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Cloak & Dagger,Darkness,CW,9,Cloak,,6,3,,1,,,,,1,,,,,,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Cloak & Dagger,Light,CW,9,Dagger,,6,3,1,,,,,1,,,,,,1,,,,-1,,,,,,,,,,,,,,1,,,,,,,,,,
Avengers,Cloak & Dagger,Penumbra,CW,,,,7,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Best with more split cards
Avengers,Daredevil,Dual existence,CW,,,,2,5,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Daredevil,Roundhouse side kick,CW,,,,4,5,,1,,,,,,,,,,,1,,,-1,,,,,,,,1,,,,,,,,,,,,,,,,
Avengers,Daredevil,Hidden identity,CW,10,,,6,3,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Marvel Knights,Daredevil,Revealed identity,CW,10,Iron Fist,,6,3,,,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Avengers,Daredevil,Master of Martial Arts,CW,,,,8,1,,1,,,,,,,,,,,1,,,-1,,,,,,,2,,,,1,,,,,,,,,,,,,
Avengers,Falcon,Rapid reinforcements,CW,,,,3,5,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filter HQ
Avengers,Falcon,Talk with birds,CW,11,,,4,5,1,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Avengers,Falcon,Squawk back,CW,11,Redwing,,4,5,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Falcon,Scout the Battlefield,CW,,,,6,3,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Falcon,Fly in a friend,CW,,,,7,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Avengers,Goliath,Brilliant biochemist,CW,12,,,4,5,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Goliath,Massive warrior,CW,12,,,4,5,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Goliath,Growth industry,CW,,,,5,5,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Goliath,Being big is best,CW,,,,6,3,,,1,,,,,1,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Goliath,Enormous implications,CW,,,,8,1,,,1,,,,,1,,,,,1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Hawkeye,Quick draw,B,,,,3,5,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Hawkeye,Team player,B,,,,4,5,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Avengers,Hawkeye,Covering fire,B,,,,5,3,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Hawkeye,Impossible trick shot,B,,,,7,1,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Hercules,Manly dullard,CW,13,,,3,5,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Hercules,Boy genius,CW,13,Amadeus Cho,,3,5,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Hercules,Crowd favorite,CW,,,,4,5,,,,1,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Hercules,Prince of power,CW,,,,5,3,,,1,,,,,1,,,,1,,,,-1,,,,,,,,,,,,,,1,,,,,,,,,,
Avengers,Hercules,Son of Zeus,CW,,,,7,1,,,1,,,,,,,,,1,1,,,,-1,,,,,,,,,,1,,,,,,,,,,,,,
Avengers,Hulk,Growing Anger,B,,,,3,5,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Hulk,Unstoppable Hulk,B,,,,4,5,,,,1,,,,,,,,,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
Avengers,Hulk,Crazed Rampage,B,,,,5,3,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Avengers,Hulk,Hulk Smash,B,,,,8,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Hulkling,Half-Kree,CW,14,,,4,5,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Hulkling,Half-Skrull,CW,14,,,4,5,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Hulkling,Cellular Regeneration,CW,,,,5,5,,,1,,,,,1,,,,,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Hulkling,Impersonate,CW,,,,6,3,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size-changing, clone"
Avengers,Hulkling,Enormous shapeshift,CW,,,,8,1,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Iron Man,Endless invention,B,,,,3,5,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Iron Man,Repulsor Rays,B,,,,3,5,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Iron Man,Arc reactor,B,,,,5,3,,,,,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Iron Man,Quantum breakthrough,B,,,,7,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Iron Man Noir,Steampowered Arsenal,N,,Iron Man,,3,5,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Iron Man Noir,Mechanized plate mail,N,,Iron Man,,4,5,,,,,1,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Iron Man Noir,Learn from enemies,N,,Iron Man,,6,3,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Avengers,Iron Man Noir,Adventurers assemble!,N,,Iron Man,,7,1,,,,,1,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,Improves investigate
Avengers,Lady Thor,Mysterious origin,SW1,,,,3,5,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Lady Thor,Chosen by Asgard,SW1,,,,4,5,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Lady Thor,Heir to the hammer,SW1,,,,6,3,1,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Lady Thor,Living thunderstorm,SW1,,,,8,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Luke Cage,Cautious,CW,15,,,3,5,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Marvel Knights,Luke Cage,Reckless,CW,15,Jessica Jones,,3,5,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Avengers,Luke Cage,Take a bullet ft team,CW,,,,4,5,,,1,,,,,,,,,1,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
Avengers,Luke Cage,Sweet christmas,CW,,,,5,3,,,,1,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Luke Cage,Unbreakable skin,CW,,,,8,1,,,1,,,,,,,,,,1,,,,,-1,,,,,,,,,1,,,,,,,,,,,,,
Avengers,Patriot,New gen of heroes,CW,,,,2,5,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonus for more hero names
Avengers,Patriot,Intuitive tactician,CW,,,,3,5,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonus for more hero names
Avengers,Patriot,Incredible effort,CW,16,,,5,3,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Patriot,Effortless,CW,16,Hawkeye,,5,3,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Avengers,Patriot,Lead the young avengers,CW,,,,8,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Requires hero name variety
Avengers,Peter Parker,Conflicted loyalties,CW,,,,2,5,,,,,1,,,,,1,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Avengers,Peter Parker,Spiderman unmasked,CW,,,,2,5,,,,1,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Avengers,Peter Parker,Protect my family,CW,17,,,2,3,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Spidermen,Peter Parker,Hot bowl of soup,CW,17,Aunt May,,2,3,,,,1,,,,,,,,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
Avengers,Peter Parker,Reluctant celebrity,CW,,,,2,1,,,,1,,,,,1,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Stature,Shrink to nothing,CW,,,,2,5,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Stature,Crush ants,CW,18,,,5,5,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,Size-changing
Avengers,Stature,Crush file sizes,CW,18,Iron Lad,,5,5,,,,,1,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Size-changing
Avengers,Stature,Growing confidence,CW,,,,6,3,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,Size-changing
Avengers,Stature,Trample the tiny,CW,,,,8,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,Size-changing
X-Men,Storm & Black Panther,Gathering rain clouds,CW,19,Storm,,2,5,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Storm & Black Panther,Gathering clues,CW,19,Black Panther,,2,5,,,,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
X-Men,Storm & Black Panther,Lightning strike,CW,20,Storm,,3,5,1,,,,,1,,,,,,,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
Avengers,Storm & Black Panther,Pouncing strike,CW,20,Black Panther,,3,5,,,,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
X-Men,Storm & Black Panther,Tsunami of water,CW,21,Storm,,5,3,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Storm & Black Panther,Tsunami of justice,CW,21,Black Panther,,5,3,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Avengers,Storm & Black Panther,King & Queen,CW,,,,7,1,,,,,1,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,Requires multiclass cards
Avengers,The Captain and the Devil,Jurassic America,SW2,,,,2,5,,,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,The Captain and the Devil,Patriotic chomp,SW2,,,,4,5,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,The Captain and the Devil,Feeding grounds,SW2,,,,6,3,,1,,,,,,,,,,,1,,,,,,-1,,,,,,,,,,,1,,,,,,,,,,
Avengers,The Captain and the Devil,Dino-roar of triumph,SW2,,,,8,1,1,,,,,,,,,,,,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,
Avengers,Thor,Odinson,B,,,,3,5,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Thor,Surge of power,B,,,,4,5,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Thor,Call lightning,B,,,,6,3,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avengers,Thor,God of thunder,B,,,,8,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Use MO as FI
Avengers,Tigra,Friendship,CW,22,,,2,5,,1,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Avengers,Tigra,Ferocity,CW,22,,,2,5,,,,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
